geometry,Full Name,Left From,Left To,Right From,Right To,Prefix Directional,Name,Type,Suffix,Travel Direction,Postal Left,Postal Right,County Left,County Right,Zip Left,Zip Right
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,0,0,900,988,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,0,0,990,1498,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,0,0,692,898,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,GATTIS SCHOOL RD,4912,5016,4913,5015,,GATTIS SCHOOL,RD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,CR 138,1,25,2,24,,CR 138,,,,HUTTO,HUTTO,TRAVIS,TRAVIS,78634,78634
Geocortex.Gis.Geometries.Polyline,N SH 130,0,0,21320,21322,N,SH 130,,,SB,ROUND ROCK,ROUND ROCK,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,691,899,0,0,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,901,989,0,0,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,991,1499,0,0,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,GREAT WESTERN DR,101,115,100,116,,GREAT WESTERN,DR,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,0,0,0,0,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,0,0,0,0,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,RIVERWALK DR,100,150,101,151,,RIVERWALK,DR,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,SH 130 FR ,12203,12681,0,0,,SH 130 FR,,,NB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,SH 130 FR ,12191,12201,0,0,,SH 130 FR,,,NB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,SH 130 EXIT 425 RAMP ,0,0,12082,12686,,SH 130 EXIT 425,RAMP,,SB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,SH 130 ENTR 425 RAMP ,12093,12201,0,0,,SH 130 ENTR 425,RAMP,,NB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,FM 685,2437,2451,0,0,,FM 685,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,FM 685,2453,2849,0,0,,FM 685,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,KAATZ LN,104,192,105,193,,KAATZ,LN,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,SH 130 FR ,12683,12685,0,0,,SH 130 FR,,,NB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,FM 685,2431,2435,0,0,,FM 685,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,0,0,1542,1568,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,0,0,1500,1540,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,1571,2199,1570,2198,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CONNECTOR TO SH 130 NB,0,0,1,3,,CONNECTOR TO SH 130 NB,,,NB,ROUND ROCK,ROUND ROCK,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,FM 685,2201,2211,2200,2210,,FM 685,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,FM 685,0,0,2300,2498,,FM 685,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,STAR RANCH BLVD,153,211,152,210,,STAR RANCH,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78643,78643
Geocortex.Gis.Geometries.Polyline,STAR RANCH BLVD,103,151,102,150,,STAR RANCH,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78643,78643
Geocortex.Gis.Geometries.Polyline,FM 685,2851,2853,0,0,,FM 685,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,FM 685,2213,2229,2212,2228,,FM 685,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,SH 130 TOLL ,12093,13671,0,0,,SH 130 TOLL,,,NB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,STAR RANCH BLVD,100,100,101,101,,STAR RANCH,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78643,78643
Geocortex.Gis.Geometries.Polyline,FM 685,0,0,2500,2854,,FM 685,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,MUIRFIELD BEND DR,2201,2299,2200,2298,,MUIRFIELD BEND,DR,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,KLATTENHOFF LN,141,349,140,350,,KLATTENHOFF,LN,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,1501,1541,0,0,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CHRIS KELLEY BLVD,1543,1569,0,0,,CHRIS KELLEY,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,ASHBURNHAM DR,21016,21020,21017,21021,,ASHBURNHAM,DR,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,GATTIS SCHOOL RD,4522,4640,4521,4641,,GATTIS SCHOOL,RD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,GATTIS SCHOOL RD,4700,4820,4701,4819,,GATTIS SCHOOL,RD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,WINTERFIELD DR,100,198,101,199,,WINTERFIELD,DR,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,MUIRFIELD BEND DR,1512,1524,1517,1521,,MUIRFIELD BEND,DR,,,HUTTO,HUTTO,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,SH 130 ENTR ,0,0,1,3,,SH 130 ENTR,,,NB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,SH 130 TOLL ,0,0,12082,13670,,SH 130 TOLL,,,SB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CR 138,27,199,26,198,,CR 138,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,GATTIS SCHOOL RD,4900,4910,4901,4909,,GATTIS SCHOOL,RD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,MUIRFIELD BEND DR,2001,2199,2000,2198,,MUIRFIELD BEND,DR,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,GATTIS SCHOOL RD,4508,4520,4509,4519,,GATTIS SCHOOL,RD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,SH 130 SB,0,0,11702,11852,,SH 130,,,SB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,SH 130 TOLL ,0,0,11854,12080,,SH 130 TOLL,,,SB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,STAR RANCH BLVD,213,349,212,350,,STAR RANCH,BLVD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,GATTIS SCHOOL RD,5018,5020,5017,5021,,GATTIS SCHOOL,RD,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CONNECTOR TO CHRIS KELLEY BLVD,1,5,0,0,,CONNECTOR TO CHRIS KELLEY BLVD,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,CONNECTOR TO CHRIS KELLEY BLVD,7,9,0,0,,CONNECTOR TO CHRIS KELLEY BLVD,,,,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,N SH 130 SVRD,0,0,21323,21337,N,SH 130 SVRD,,,NB,PFLUGERVILLE,PFLUGERVILLE,WILLIAMSON,WILLIAMSON,78660,78660
Geocortex.Gis.Geometries.Polyline,BETHPAGE DR,900,912,901,917,,BETHPAGE,DR,,,HUTTO,HUTTO,TRAVIS,TRAVIS,78634,78634
Geocortex.Gis.Geometries.Polyline,SH 130 NB,11703,11851,0,0,,SH 130,,,NB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78634,78634
Geocortex.Gis.Geometries.Polyline,SH 130 TOLL ,11853,12091,0,0,,SH 130 TOLL,,,NB,HUTTO,HUTTO,WILLIAMSON,WILLIAMSON,78664,78664
Geocortex.Gis.Geometries.Polyline,MUIRFIELD BEND DR,1316,1508,1317,1509,,MUIRFIELD BEND,DR,,,HUTTO,HUTTO,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,N SH 130 SB,20218,20624,0,0,N,SH 130,,,SB,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,N SH 130 NB,20300,20600,20219,20625,N,SH 130,,,NB,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,GATTIS SCHOOL TO N 130 SB RAMP,0,0,1,5,,GATTIS SCHOOL TO N 130 SB RAMP,,,,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,N SH 130 SVRD SB,21030,21318,0,0,N,SH 130 SVRD,,,SB,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,FM 685 RD,20800,21124,20801,21123,,FM 685 RD,,,,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,N SH 130,21320,21320,0,0,N,SH 130,,,SB,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,N SH 130 SVRD NB,0,0,21125,21321,N,SH 130 SVRD,,,NB,PFLUGERVILLE,PFLUGERVILLE,TRAVIS,TRAVIS,78660,78660
Geocortex.Gis.Geometries.Polyline,N IH 130 RAMP,0,0,0,0,N,SH 130,RAMP,,,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78634,78634
Geocortex.Gis.Geometries.Polyline,N SH 130 NB TO CR 138 RAMP,0,0,0,0,N,SH 130 NB TO CR 138,RAMP,,,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78664,78664
Geocortex.Gis.Geometries.Polyline,N SH 130 SVRD NB,0,0,21323,21337,N,SH 130 SVRD,,,NB,PFLUGERVILLE,PFLUGERVILLE,TRAVIS,TRAVIS,78660,78660
Geocortex.Gis.Geometries.Polyline,N SH 130 SVRD SB,21000,21028,0,0,N,SH 130 SVRD ,,,SB,ROUND ROCK,ROUND ROCK,TRAVIS,TRAVIS,78664,78664
